,body,target,polarity,subjectivity,camera,charger,price,quality,brand,update,speaker,battery health,screen/ display,shell condition,camera_ CA score ,charger_ CA score ,price_ CA score ,quality_ CA score ,brand_ CA score ,update_ CA score ,speaker_ CA score ,battery health_ CA score ,screen/ display_ CA score ,shell condition_ CA score 
0,"I needed to replace my teens Iphone and absolutely refuse to pay the gross prices of new phones, especially for teens who tend to break or damage phones easier. I almost bought a refurbished phone from Ebay until I saw on Google that Amazon sold them. Amazon has a better return policy and I’m very familiar with Amazon and never use Ebay so I felt better buying here. So far the phone has been fine and as expected. We put a case on it immediately so if there were any cosmetic flaws they weren’t very noticeable. Also able to finance through here so can pay overtime which is great and I’ll pay it off sooner than my financing terms but still better than putting on a credit card or paying full price up front. Hope it holds up, had about a month now so can’t say much else.",1,0.34351851851851856,0.3611111111111111,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1,phone had a little glitch when i frist recieved it. i just figured maybe i just was seeing things so i continued on. bout two months in same glitch but lasted a minute or so in the top corner. so i figured i better send it back.Buy spree quickly gave me approval and i printed shipment label and returned the product.once my phone arrived they gave me a prompt refund of my puchase.im sorry this didnt work out but i definatly would use buy spree as they back thier stuff.thanksLarry,1,0.27777777777777773,0.35555555555555557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Was skeptical to get one a renewed iPhone . Decided to try it ordered an iPhone 11 64 gb black . Receipt it in 2 days . Got it upon inspection of the phone can’t expect perfect condition that’s why I’m giving it 4 stars it had a little hair scratch on lower side of the phone can’t really see but since I applied a screen protector can’t see it at all 😁. Around the camera lens it has a few light scratches but Also can’t see it hardly noticeable. The battery life on mines says 87% not to bad I think but let’s see how that goes . I’m not a heavy daily user so could be a problem for other people. I connect it to my t mobile account and it’s working everything else works great camera speakers sound face recognition. Great buy to save money on new iPhone. . Would I recommend it ? Yes . But everyone’s experience is different. They give 90 days to return it or exchange it .,1,0.4202380952380952,0.6535714285714285,2,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,3,3,3
3,"I bought the purple iPhone 11 from Stone Digital despite the negative reviews since it was eligible for return. However, The phone exceeded my expectations! It has little to no cosmetic damage and came with a clear case and screen protector I wasn’t expecting. Activation of the phone was simple and easy- it was factory unlocked just as described. No problems with Apple ID, camera, etc. I waited about 2 weeks just to truly see how the phone operated and it has been up to par. No glitching or shutting down. The facial recognition works perfectly fine and the battery life has been amazing as well lasting about a full day with heavy use. The experience in how they packaged the product also made the phone feel brand new again instead of second hand.",1,0.2527777777777778,0.325,1,0,0,0,1,0,0,1,1,0,2,0,0,0,2,0,0,2,2,0
4,"After four years of using an Android, I went back to the iPhone, since everyone else in my family is on iPhone and I didn't want to be the odd man out. So far, I'm liking the technology, and thought I would miss the fingerprint scanner that my Samsung had, but the facial recognition works really well. This phone does everything I need it to, and should be more durable than the last iphone I had. And buying it used and Amazon certified, the price was good, and for a reconditioned phone looks as good as a new one. So far so good!",1,0.5249999999999999,0.45000000000000007,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
5,I wasn’t sure what to expect from a refurbished device but most comments were pretty positive. I wasn’t happy that mine had a few visible blemishes on the screen and was about to return it but decided on keeping it because of the price. I applied a screen protector and case and it looks almost as good as new. Battery life is 88% but still lasts a full day no problem. I did have the idea of replacing the battery as soon as I bought it because my iPhone 8 was awful at 83% but I don’t feel the need just yet because battery is really great. Overall I’m glad I got this because I really needed to upgrade my iPhone 8.,1,0.5,0.6611111111111111,0,0,1,0,0,0,0,3,2,0,0,0,3,0,0,0,0,3,3,0
6,"Unboxed, synced and everything seems to be working perfectly. Battery life is 84%. Beautiful phone with no immediate notice of exterior flaws. Perfectly boxed with charger, sim card remover, even included an inexpensive clear silicone cover until you could get a new one if desired and a tempered glass screen protector. The screen protector is cracked but wasn't expecting it so not disappointed. So far could not be more pleased.",1,0.7000000000000001,0.7944444444444444,0,1,0,0,0,0,0,1,2,0,0,4,0,0,0,0,0,4,4,0
7,Apple phones are always a great phone his phones have a 90 day return policy which I think is very important for a phone the battery life though is not the best but the screen functionality is pretty well and it also has Face ID that works great and the best part about it is that on a regular phone when you run out of storage it starts going slow but Apple even when you run out of storage but even before you get to iCloud the phone does not run slow so I always love the Apple so I do recommend it so even though it’s much newer models out there told your phone still works good I just keep in mind though that not all of them the battery life is amazing which I find is a very important to mention,1,0.4666666666666667,0.4641025641025641,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,3,0
8,"Pedí 2 iPhone 11 para mis hijos, ambos en blanco en estado ""excelente"". Uno realmente estaba en estado excelente, prácticamente sin marcas de uso y con batería al 100%. El otro vino con marcas visibles, en pantalla y en los marcos, más batería al 83%, la verdad esperaba más, ambos funcionan bien, pero creo que el 2do iPhone estaba más para entrar en estado ""muy bueno"", no en excelente. No sé bien cuál será el límite para calificarlo aquí o allá... Me desilucionó un poco.",1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,This is my 3rd renewed iPhone. The 2 prior phones didn’t have any scratches at all. This iPhone was described as excellent and did have scratches and chips around the camera lens. The battery is also only at 81%. The battery on my older 8 plus trade in was at 83%.All things considered I took a star off. Its in very good condition not excellent. More importantly the phone is 100% in good working order.,1,0.3916666666666666,0.38333333333333336,1,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,2,0,2
