0,ID,body,date,Month,Year,day,Mentioned purchase time?,Battery failure? 0 or 1
1,Bipin,Iphone is only brand name no features.  Android gives all features and flexibility. Iphone should not be bought. Everything locked on name of security. We can not use our own data in iphone. Never recommend to buy iPhone,9 hours ago,hours,ago,9,,
2,Iphone11user ,"Iphone11user , 17 Jan 2023After 2.5 years (my mom used it and gave it to me) and exposure to seawater it has a bad batte... moreGreat news, no internal damage, just screen got water in it a bit and the battery needs replacement. Tough phone",10 hours ago,hours,ago,10,,
84,no_ID,"DepOta, 12 Sep 2022I Love Iphone 11 bought mine last week brand new for 400$ i dont care if the screen is weak co... moreGreat phone, I've had it for two days!",28-Sep-22,Sep,2022,28,1,0
85,Imran alam,Must have call recording please,21-Sep-22,Sep,2022,21,0,0
86,Sandeep,I heard that u can't use files between apps until u copy them to a specific app to use in iOS. So if I download say 20 pics from a 3rd party browser can I see them in gallery in iOS? I've been using Poco F1 until recently it went dead so for a change wondering switching. plz help me. I want to know how files work in iOS between apps. My main usage is browsing and downloading stuff + reading + genshin impact.,18-Sep-22,Sep,2022,18,0,0
87,no_ID,"A friend got this one yesterday. She has always had entry level/low midrange Android phones so it is her first relatively high end phone. I have to say I was very impressed. Very sleek, the screen is pretty good for being IPS (I've been using phones with AMOLED screens since a few years now), very snappy, camera quality is great specially the videos... No need to say she's loving it. I think it was around $460 for the 64 GB version, brand new, which comes with around 48 GB for the user. I think the capacity might be an issue but it isn't terrible. Battery capacity at 100%. Decent purchase, she's coming from a Samsung A31 and always wanted to get an iPhone so she's definitely happier now.",16-Sep-22,Sep,2022,16,1,0
88,iPhone11user,"DearAminu, 18 Aug 2022Pls are you a heavy phone user; social media, emails, calls and games?  Like does the battery ... moreAfter ios 16.0 only 3 hours SOT from 100-35%",16-Sep-22,Sep,2022,16,0,1
89,iPhone11user,Charging takes forever. Battery health at 84% and ios 16.0. They charge $599 for this shit?,16-Sep-22,Sep,2022,16,0,1
90,Tiramisu,"DepOta, 12 Sep 2022I Love Iphone 11 bought mine last week brand new for 400$ i dont care if the screen is weak co... more$400!! From where? Where I live the 128GB is going for $586",13-Sep-22,Sep,2022,13,0,0
91,no_ID,"I Love Iphone 11 bought mine last week brand new for 400$ i dont care if the screen is weak coz not oled! I'm using as my backnup phone!, And really ecited for ios16 later â¤ï¸ðŸ˜",12-Sep-22,Sep,2022,12,1,0
92,iPhone11user,"Nadia, 09 Sep 2022Please can i truly find original new apple made iphone 11 256 gb yet?
Or atleast original new... moreNot if it doesn't come with screen protector or at least 86 battery health",11-Sep-22,Sep,2022,11,0,0
93,Nikolashi,"Hello guys i have a iPhone 11 Japan model 
Green 
Touchscreen misses a lot, lots of typos and makes phone feel very sluggish 
Ios 15.6.1 
Phone heats up upon 15 minutes of use, battery health 84
 
1. Can i fix the typos with a screen protector and 
2. When am i due for a new battery",11-Sep-22,Sep,2022,11,0,1
94,Nadia,"Please can i truly find original new apple made iphone 11 256 gb yet? 
Or atleast original new 128gb. Do you recommend using UK used iphones and local second hand phones please? 
What about x do you think it is worth buying in 2022 ..i just love how available it 256 gb is and because of it size.",9-Sep-22,Sep,2022,9,0,0
95,no_ID,"1017, 31 Aug 2022I'll switch to Samsung the day they kick Android out.""I'll switch to Samsung the day they kick Android out."" 
 LOL, and replace it with what?",8-Sep-22,Sep,2022,8,0,0
96,Anonymous,"iPhoneXcoinosseur, 23 Aug 2022Not 50m. 2 metres for 50 minutes30",7-Sep-22,Sep,2022,7,0,0
97,Anonymous,"Anonymous, 10 Aug 2022Hello , what should i buy (secund hend phone)
-iPhone Xs Max or
-iPhone 11I have an xs max, but I'm still thinking if i would upgrade to a regular 11",4-Sep-22,Sep,2022,4,0,0
98,1017,"Anonymous, 31 Aug 2022Samsung is also a Koran brandðŸ˜‚I'll switch to Samsung the day they kick Android out.",31-Aug-22,Aug,2022,31,0,0
99,Anonymous,"Anonymous, 30 Aug 2022Ignore both iPhones and Chinese phones. Just close your eyes and go for Samsung. You won'... moreSamsung is also a Koran brandðŸ˜‚",31-Aug-22,Aug,2022,31,0,0
100,Anonymous,"Apple , 30 Aug 2022Apple 11 is ok phone he have awesome look but he have very cheap screen and bad battery life, ... moreIgnore both iPhones and Chinese phones. Just close your eyes and go for Samsung. You won't look back. Lag? Bug? Not anymore. Even mid range ones are great now.",30-Aug-22,Aug,2022,30,0,0
101,Apple ,"Apple 11 is ok phone he have awesome look but he have very cheap screen and bad battery life, he also have problems with only 4gb ram! I'm not sure does he worth the money you spent, because he had lot of problems with playing games and short time for watching videEvrynline!Everyone can buy much batter and cheaper Chinese phone like Huawei or honor who had batter characteristics!",30-Aug-22,Aug,2022,30,0,1
102,no_ID,crazyyyy bezels,30-Aug-22,Aug,2022,30,0,0
103,no_ID,"I've been using iOS version 14.6 since day 1 that came with my iPhone 11 from factory. No battery drain issue, and it still runs smooth like butter. Every application runs butter smooth. I never updated my iPhone and I never will. As it has LCD screen, I've no fear of screen burn-in, white screen, green screen or green line issues that amoled screens are having now a days. Apple tunes their color of LCD so good that it looks good as amoled. I use a 5w apple charger for low-heat charging. Battery health is 98%, warranty is now over and it has not even a single issue so far. I'm so happy with my purchase... best iPhone ever!",29-Aug-22,Aug,2022,29,0,0
104,PG,"juve, 24 Aug 2022what the meaning of battery health?How long the batter lasts. The higher the percentage, the longer the phone will last throughout the day and the upcoming months/years. I suggest you donâ€™t let the battery fall under 20%, turn on auto brightness and optimised battery charging so it knows all about your charging routine",28-Aug-22,Aug,2022,28,0,0
105,juve,what the meaning of battery health?,24-Aug-22,Aug,2022,24,0,0
106,iPhoneXcoinosseur,"Tavi, 19 Aug 2022Yes,the iPhone 11 is waterproof and it can resist to up to 50 m underwater Not 50m. 2 metres for 50 minutes",23-Aug-22,Aug,2022,23,0,0
107,iPhoneXcoinosseur,"Help i have green 11 after ios 15.6.1 its hard to get reception, wifi keeps dropping, mobile data is difficult, is it because of Kemenperin (Indonesian Communications ministry) IMEI law or something because my number still works but very hard to get signal",23-Aug-22,Aug,2022,23,0,0
108,buddddha,"Benne, 09 Aug 2022Hi be careful with the new software update 15.6  !!!  DO NOT UPGRADE !!! It has a huge bug  !!... moreI happened to notice that my 11 Pro drains way too fast after 80% charge+optimized charge while shutdown. I turned it on in the morning to an 89% and in just 4/5 minutes, 8% bat percentage dissapeared. 
 
Ever since upgrading to 15.6, I feel like worrying too much about the battery because it really does discharge pretty quickly.",22-Aug-22,Aug,2022,22,0,1
109,nobody,"TimmyWimmy, 21 Aug 2022Hey is an iphone 11 still good in 2022? Or is 12 better for its price? Thanks :)yes still worth it, you still can have it in 2022",22-Aug-22,Aug,2022,22,0,0
110,no_ID,Hey is an iphone 11 still good in 2022? Or is 12 better for its price? Thanks :),21-Aug-22,Aug,2022,21,0,0
111,DOPE IV,"HI 
Is the iPhone 11 still a good device to buy in 2022?because the only difference with the 12 is (Oled screen) nothing major plus the camera tweak because they still using the same cameras on the 11.",19-Aug-22,Aug,2022,19,0,0
112,Tavi,"Shamim Gaming , 18 Aug 2022Iphone 11 are waterproof?? Yes,the iPhone 11 is waterproof and it can resist to up to 50 m underwater",19-Aug-22,Aug,2022,19,,
113,Tavi,"Shamim Gaming , 18 Aug 2022Iphone 11 are waterproof?? Yes,the iPhone 11 is waterproof and it can resist to up to 50 m underwater",19-Aug-22,Aug,2022,19,0,0
114,DearAminu,"PG, 15 Aug 2022I wish I had purchased an 11 pro instead of the regular 11 but I am not disappointed, this is ... morePls are you a heavy phone user; social media, emails, calls and games?  Like does the battery last a whole day on a single charge ?",18-Aug-22,Aug,2022,18,0,0
115,Shamim Gaming ,Iphone 11 are waterproof??,18-Aug-22,Aug,2022,18,0,0
